route_id,origin,destination,estimated_road_km,truck_type,capacity_mt,assumed_rate_rs_per_km,estimated_toll_rs,loading_unloading_rs,estimated_total_trip_cost_rs,data_status
T0034,Hanumangarh,Bharatpur,520.8,Pickup 2T,2.0,27.28,565.0,400,15173.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0035,Udaipur,Chittorgarh,125.8,Tata Ace / mini,1.0,25.98,137.0,1000,4406.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0036,Jaipur,Barmer,583.9,Pickup 2T,2.0,33.8,443.0,1000,21178.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0037,Jaipur,Nagaur,263.5,Pickup 2T,2.0,25.62,251.0,800,7802.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0038,Bikaner,Hanumangarh,255.6,LCV 6T,6.0,32.25,360.0,800,9402.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0039,Sri Ganganagar,Bikaner,276.8,Pickup 2T,2.0,28.53,252.0,650,8799.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0040,Kota,Chittorgarh,166.2,LCV 6T,6.0,37.87,166.0,500,6959.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0041,Sikar,Ajmer,176.8,LCV 6T,6.0,34.09,229.0,800,7056.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0042,Bikaner,Bhilwara,416.5,Tata Ace / mini,1.0,25.34,430.0,800,11785.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0043,Bharatpur,Kota,353.4,LCV 6T,6.0,35.12,259.0,800,13470.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0044,Ajmer,Kota,235.7,Pickup 2T,2.0,33.75,319.0,300,8575.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0045,Jodhpur,Chittorgarh,281.5,LCV 6T,6.0,31.52,277.0,650,9801.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0046,Sri Ganganagar,Jodhpur,532.5,Tata Ace / mini,1.0,27.73,873.0,400,16039.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0047,Sri Ganganagar,Nagaur,385.0,Truck 16T,16.0,47.12,566.0,400,19105.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0048,Barmer,Jaipur,583.9,Pickup 2T,2.0,31.33,628.0,800,19721.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0049,Barmer,Ajmer,426.2,Truck 16T,16.0,57.76,512.0,800,25932.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0050,Sikar,Jodhpur,331.8,Pickup 2T,2.0,30.94,524.0,400,11191.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0051,Sikar,Ajmer,176.8,Tata Ace / mini,1.0,25.44,196.0,800,5493.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0052,Alwar,Nagaur,370.0,Pickup 2T,2.0,29.41,579.0,650,12110.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0053,Nagaur,Alwar,370.0,LCV 6T,6.0,30.59,584.0,650,12552.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0054,Bharatpur,Sri Ganganagar,593.1,Truck 16T,16.0,59.55,937.0,650,36908.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0055,Sikar,Ajmer,176.8,LCV 6T,6.0,30.0,144.0,800,6248.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0056,Bhilwara,Bharatpur,452.3,Pickup 2T,2.0,33.23,583.0,300,15912.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0057,Jaipur,Barmer,583.9,Truck 10T,10.0,37.96,697.0,400,23261.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0058,Barmer,Hanumangarh,658.5,Pickup 2T,2.0,27.91,593.0,650,19622.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0059,Sri Ganganagar,Udaipur,757.3,Pickup 2T,2.0,26.49,825.0,400,21285.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0060,Bharatpur,Ajmer,379.6,Truck 10T,10.0,37.73,523.0,1000,15845.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0061,Ajmer,Alwar,297.7,Truck 10T,10.0,37.99,277.0,500,12087.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0062,Jaipur,Bhilwara,267.0,Tata Ace / mini,1.0,24.16,301.0,1000,7753.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0063,Udaipur,Bikaner,491.9,Pickup 2T,2.0,30.6,497.0,300,15850.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0064,Jodhpur,Chittorgarh,281.5,Truck 16T,16.0,51.27,210.0,1000,15645.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0065,Sikar,Bharatpur,303.8,Tata Ace / mini,1.0,23.05,446.0,300,7748.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0066,Bhilwara,Bikaner,416.5,Truck 10T,10.0,44.19,631.0,1000,20037.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0067,Nagaur,Barmer,362.3,Truck 10T,10.0,46.62,330.0,300,17519.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0068,Kota,Chittorgarh,166.2,Truck 16T,16.0,59.36,210.0,400,10475.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0069,Nagaur,Hanumangarh,346.8,Truck 10T,10.0,47.71,541.0,650,17736.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0070,Jaipur,Bhilwara,267.0,Tata Ace / mini,1.0,26.92,245.0,1000,8434.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0071,Chittorgarh,Bharatpur,494.8,LCV 6T,6.0,37.68,513.0,1000,20158.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0072,Nagaur,Bharatpur,477.1,LCV 6T,6.0,31.0,394.0,650,15833.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0073,Alwar,Udaipur,563.8,Truck 10T,10.0,39.1,646.0,500,23192.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0074,Kota,Barmer,579.1,Truck 10T,10.0,43.85,883.0,650,26928.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0075,Udaipur,Jodhpur,251.4,Truck 10T,10.0,36.59,192.0,1000,10391.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0076,Kota,Udaipur,291.9,Tata Ace / mini,1.0,20.94,394.0,500,7006.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0077,Udaipur,Bhilwara,161.1,Truck 16T,16.0,50.75,145.0,1000,9319.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0078,Jaipur,Sikar,128.6,Truck 10T,10.0,47.93,122.0,800,7088.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0079,Jaipur,Sri Ganganagar,488.3,Truck 10T,10.0,45.37,370.0,800,23324.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0080,Ajmer,Jaipur,160.1,LCV 6T,6.0,31.19,207.0,300,5500.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0081,Chittorgarh,Bikaner,476.5,LCV 6T,6.0,34.3,647.0,500,17491.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0082,Alwar,Bharatpur,119.8,Truck 10T,10.0,46.97,90.0,1000,6718.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0083,Bhilwara,Bharatpur,452.3,Pickup 2T,2.0,26.09,648.0,800,13248.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0084,Bhilwara,Sikar,328.4,Truck 10T,10.0,46.55,456.0,400,16144.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0085,Nagaur,Bikaner,128.4,Tata Ace / mini,1.0,22.67,125.0,1000,4036.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0086,Barmer,Nagaur,362.3,Pickup 2T,2.0,27.17,356.0,1000,11199.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0087,Kota,Bhilwara,159.2,Truck 10T,10.0,40.38,155.0,400,6984.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0088,Barmer,Sri Ganganagar,668.3,Pickup 2T,2.0,26.65,947.0,500,19256.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0089,Sikar,Barmer,544.5,Truck 10T,10.0,48.54,784.0,400,27612.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0090,Sikar,Jaipur,128.6,Tata Ace / mini,1.0,21.52,98.0,800,3667.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0091,Chittorgarh,Bhilwara,65.1,Truck 16T,16.0,48.74,34.0,400,3609.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0092,Sri Ganganagar,Udaipur,757.3,Tata Ace / mini,1.0,21.59,639.0,800,17788.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0093,Hanumangarh,Bhilwara,604.0,Truck 10T,10.0,47.93,533.0,500,29985.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0094,Jodhpur,Sikar,331.8,Truck 10T,10.0,37.86,346.0,1000,13910.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0095,Nagaur,Barmer,362.3,LCV 6T,6.0,37.36,571.0,500,14605.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0096,Alwar,Bikaner,423.7,Tata Ace / mini,1.0,21.97,366.0,500,10174.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0097,Jaipur,Bikaner,350.3,Pickup 2T,2.0,32.33,553.0,400,12278.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0098,Hanumangarh,Alwar,407.9,Truck 10T,10.0,45.07,374.0,300,19057.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0099,Bharatpur,Alwar,119.8,Tata Ace / mini,1.0,26.86,102.0,650,3970.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0100,Sri Ganganagar,Jodhpur,532.5,Truck 16T,16.0,59.97,489.0,400,32823.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0101,Nagaur,Jodhpur,164.1,Truck 16T,16.0,50.39,171.0,650,9090.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0102,Chittorgarh,Bharatpur,494.8,LCV 6T,6.0,39.64,484.0,500,20599.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0103,Sikar,Alwar,188.7,LCV 6T,6.0,36.48,130.0,1000,8015.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0104,Ajmer,Sikar,176.8,Pickup 2T,2.0,31.96,189.0,300,6139.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0105,Hanumangarh,Barmer,658.5,Truck 16T,16.0,55.33,826.0,300,37561.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0106,Barmer,Nagaur,362.3,Truck 16T,16.0,47.65,370.0,1000,18632.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0107,Bhilwara,Jodhpur,242.5,Pickup 2T,2.0,28.65,278.0,300,7526.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0108,Bikaner,Udaipur,491.9,Truck 10T,10.0,42.96,559.0,400,22092.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0109,Jaipur,Jodhpur,364.5,Truck 10T,10.0,43.83,278.0,500,16755.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0110,Bikaner,Nagaur,128.4,Pickup 2T,2.0,24.64,102.0,1000,4265.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0111,Bharatpur,Udaipur,612.8,LCV 6T,6.0,41.37,875.0,1000,27227.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0112,Udaipur,Bikaner,491.9,Truck 10T,10.0,45.86,788.0,650,23997.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0113,Alwar,Bhilwara,404.3,Truck 10T,10.0,40.34,545.0,500,17355.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0114,Sikar,Alwar,188.7,Truck 16T,16.0,56.77,195.0,650,11559.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0115,Ajmer,Barmer,426.2,Truck 16T,16.0,59.68,536.0,300,26274.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0116,Udaipur,Jaipur,424.8,LCV 6T,6.0,37.05,606.0,300,16643.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0117,Udaipur,Kota,291.9,Truck 16T,16.0,50.62,242.0,400,15418.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0118,Alwar,Udaipur,563.8,Pickup 2T,2.0,32.36,435.0,650,19331.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0119,Chittorgarh,Kota,166.2,LCV 6T,6.0,31.07,220.0,800,6183.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0120,Chittorgarh,Bhilwara,65.1,Truck 10T,10.0,47.27,30.0,650,3759.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0121,Ajmer,Nagaur,157.2,LCV 6T,6.0,32.2,130.0,400,5591.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0122,Chittorgarh,Sri Ganganagar,720.0,LCV 6T,6.0,36.0,670.0,650,27242.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0123,Alwar,Hanumangarh,407.9,LCV 6T,6.0,41.83,527.0,500,18089.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0124,Bikaner,Barmer,404.4,Tata Ace / mini,1.0,24.19,299.0,800,10882.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0125,Jaipur,Jodhpur,364.5,Tata Ace / mini,1.0,25.46,291.0,300,9872.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0126,Jodhpur,Jaipur,364.5,Tata Ace / mini,1.0,22.61,359.0,800,9401.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0127,Udaipur,Sikar,467.5,Tata Ace / mini,1.0,27.65,423.0,800,14148.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0128,Bikaner,Ajmer,279.9,Truck 16T,16.0,47.49,275.0,1000,14569.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0129,Hanumangarh,Ajmer,447.4,Truck 16T,16.0,49.99,398.0,650,23415.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0130,Chittorgarh,Nagaur,348.5,Pickup 2T,2.0,29.07,498.0,650,11279.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0131,Jaipur,Udaipur,424.8,Tata Ace / mini,1.0,27.48,650.0,300,12622.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0132,Barmer,Bharatpur,805.2,LCV 6T,6.0,31.29,1135.0,800,27129.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0133,Jodhpur,Ajmer,208.2,Tata Ace / mini,1.0,23.98,236.0,800,6030.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0134,Hanumangarh,Sikar,298.4,Truck 10T,10.0,49.0,348.0,650,15620.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0135,Barmer,Bikaner,404.4,Tata Ace / mini,1.0,25.35,315.0,400,10967.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0136,Sikar,Ajmer,176.8,Pickup 2T,2.0,33.6,177.0,650,6767.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0137,Jaipur,Sikar,128.6,Tata Ace / mini,1.0,27.33,153.0,1000,4669.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0138,Chittorgarh,Barmer,433.4,Truck 16T,16.0,45.58,519.0,1000,21271.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0139,Bhilwara,Sikar,328.4,Truck 16T,16.0,53.01,433.0,800,18643.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0140,Sri Ganganagar,Barmer,668.3,Truck 16T,16.0,54.29,680.0,400,37360.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0141,Bikaner,Barmer,404.4,Pickup 2T,2.0,26.93,520.0,650,12061.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0142,Sri Ganganagar,Hanumangarh,72.3,Tata Ace / mini,1.0,23.92,42.0,500,2271.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0143,Jodhpur,Bikaner,256.5,Truck 16T,16.0,50.22,281.0,500,13663.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0144,Barmer,Bhilwara,420.0,Tata Ace / mini,1.0,24.22,320.0,300,10792.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0145,Bharatpur,Udaipur,612.8,Truck 16T,16.0,52.68,825.0,1000,34108.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0146,Jaipur,Jodhpur,364.5,Tata Ace / mini,1.0,20.38,358.0,400,8187.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0147,Sikar,Jodhpur,331.8,Tata Ace / mini,1.0,26.59,433.0,650,9907.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0148,Chittorgarh,Jodhpur,281.5,Truck 16T,16.0,57.59,316.0,1000,17530.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0149,Chittorgarh,Jaipur,324.1,Pickup 2T,2.0,24.99,497.0,400,8996.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0150,Chittorgarh,Sikar,392.7,Tata Ace / mini,1.0,25.71,457.0,800,11354.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0151,Bhilwara,Udaipur,161.1,Tata Ace / mini,1.0,20.36,143.0,1000,4422.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0152,Kota,Bharatpur,353.4,Tata Ace / mini,1.0,27.24,457.0,500,10584.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0153,Ajmer,Sri Ganganagar,500.8,Pickup 2T,2.0,27.72,755.0,300,14938.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0154,Ajmer,Hanumangarh,447.4,Truck 16T,16.0,47.94,598.0,650,22697.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0155,Bhilwara,Udaipur,161.1,LCV 6T,6.0,32.46,203.0,1000,6431.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0156,Hanumangarh,Bharatpur,520.8,Truck 10T,10.0,45.66,585.0,650,25016.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0157,Sri Ganganagar,Bharatpur,593.1,Pickup 2T,2.0,32.17,713.0,800,20594.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0158,Jaipur,Bhilwara,267.0,Truck 10T,10.0,36.59,356.0,400,10527.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0159,Bhilwara,Chittorgarh,65.1,Pickup 2T,2.0,24.71,23.0,400,2033.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0160,Hanumangarh,Barmer,658.5,Truck 10T,10.0,36.93,827.0,400,25546.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0161,Chittorgarh,Bharatpur,494.8,Truck 10T,10.0,39.99,494.0,800,21082.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0162,Bharatpur,Kota,353.4,Tata Ace / mini,1.0,23.16,528.0,400,9113.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0163,Kota,Jodhpur,392.3,Truck 10T,10.0,38.81,464.0,300,15991.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0164,Bikaner,Hanumangarh,255.6,Tata Ace / mini,1.0,20.89,181.0,650,6170.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0165,Ajmer,Kota,235.7,Tata Ace / mini,1.0,21.93,277.0,650,6097.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0166,Chittorgarh,Ajmer,222.2,Truck 10T,10.0,44.36,153.0,800,10810.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0167,Barmer,Alwar,713.8,Pickup 2T,2.0,31.25,569.0,300,23175.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0168,Ajmer,Sikar,176.8,LCV 6T,6.0,41.06,157.0,400,7816.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0169,Hanumangarh,Bhilwara,604.0,Tata Ace / mini,1.0,23.13,538.0,500,15009.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0170,Jodhpur,Kota,392.3,Pickup 2T,2.0,25.84,350.0,1000,11488.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0171,Chittorgarh,Bikaner,476.5,Tata Ace / mini,1.0,26.97,379.0,400,13630.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
